# Distance/nm	$\rho$	$I_{\text{CTF}}$	$I_{\text{CTF}} \otimes \sigma_{\text{detector}}$
-90.34759	1	0.99917	0.99998
-90.29757	1	0.99912	0.99998
-90.24756	1	0.99907	0.99998
-90.19755	1	0.99903	0.99998
-90.14754	1	0.999	0.99998
-90.09752	1	0.99897	0.99998
-90.04751	1	0.99894	0.99998
-89.9975	1	0.99893	0.99998
-89.94749	1	0.99892	0.99998
-89.89747	1	0.99891	0.99998
-89.84746	1	0.99892	0.99998
-89.79745	1	0.99893	0.99998
-89.74744	1	0.99895	0.99998
-89.69742	1	0.99897	0.99998
-89.64741	1	0.999	0.99998
-89.5974	1	0.99904	0.99998
-89.54739	1	0.99908	0.99998
-89.49737	1	0.99913	0.99998
-89.44736	1	0.99918	0.99998
-89.39735	1	0.99923	0.99998
-89.34734	1	0.99928	0.99998
-89.29732	1	0.99934	0.99998
-89.24731	1	0.9994	0.99998
-89.1973	1	0.99945	0.99998
-89.14729	1	0.99951	0.99998
-89.09727	1	0.99956	0.99998
-89.04726	1	0.99961	0.99998
-88.99725	1	0.99966	0.99998
-88.94724	1	0.9997	0.99998
-88.89722	1	0.99974	0.99998
-88.84721	1	0.99977	0.99998
-88.7972	1	0.9998	0.99998
-88.74719	1	0.99982	0.99998
-88.69717	1	0.99983	0.99998
-88.64716	1	0.99983	0.99998
-88.59715	1	0.99983	0.99998
-88.54714	1	0.99982	0.99998
-88.49712	1	0.9998	0.99998
-88.44711	1	0.99978	0.99998
-88.3971	1	0.99975	0.99998
-88.34709	1	0.99972	0.99998
-88.29707	1	0.99968	0.99998
-88.24706	1	0.99963	0.99998
-88.19705	1	0.99958	0.99998
-88.14704	1	0.99953	0.99998
-88.09702	1	0.99947	0.99998
-88.04701	1	0.99942	0.99998
-87.997	1	0.99936	0.99998
-87.94699	1	0.9993	0.99997
-87.89697	1	0.99925	0.99997
-87.84696	1	0.99919	0.99997
-87.79695	1	0.99914	0.99997
-87.74694	1	0.99909	0.99997
-87.69692	1	0.99905	0.99997
-87.64691	1	0.99901	0.99997
-87.5969	1	0.99897	0.99997
-87.54689	1	0.99895	0.99997
-87.49687	1	0.99892	0.99997
-87.44686	1	0.99891	0.99997
-87.39685	1	0.9989	0.99997
-87.34684	1	0.9989	0.99997
-87.29682	1	0.99891	0.99997
-87.24681	1	0.99892	0.99997
-87.1968	1	0.99894	0.99997
-87.14679	1	0.99897	0.99997
-87.09677	1	0.999	0.99997
-87.04676	1	0.99904	0.99997
