# # Angle(mrad) Diff_term(nm) C3_term(nm) C5_term(nm) C_c_term(nm) C_cc_term(nm) C_3c_term(nm) R(nm)
5.000000000000000000e-01	1.221633861467463511e+01	6.150000000000000605e-02	2.400000000000000061e-05	2.383174455036330963e-01	4.832633405178716340e-03	6.801213252449837257e-04	1.221881869988701474e+01
5.009500950095009397e-01	1.219316927611616030e+01	6.185125165868989028e-02	2.422889102380523395e-05	2.387702939349330977e-01	4.841816326940731087e-03	6.840057763604742887e-04	1.219566471080018211e+01
5.019001900190018794e-01	1.217008765648417778e+01	6.220383820556820570e-02	2.445952509606666547e-05	2.392231423662330991e-01	4.850999248702746701e-03	6.879049898487088911e-04	1.217259851477263055e+01
5.028502850285028192e-01	1.214709325856520294e+01	6.255776217236540260e-02	2.469191215311837900e-05	2.396759907975332116e-01	4.860182170464763182e-03	6.918189937077994997e-04	1.214961961491169440e+01
5.038003800380037589e-01	1.212418558889644515e+01	6.291302609081185493e-02	2.492606216898454798e-05	2.401288392288332407e-01	4.869365092226778796e-03	6.957478159358568889e-04	1.212672751807709481e+01
5.047504750475046986e-01	1.210136415773050267e+01	6.326963249263806155e-02	2.516198515545092166e-05	2.405816876601332421e-01	4.878548013988794410e-03	6.996914845309931338e-04	1.210392173484567913e+01
5.057005700570057494e-01	1.207862847900046432e+01	6.362758390957448662e-02	2.539969116213611143e-05	2.410345360914332991e-01	4.887730935750810024e-03	7.036500274913204183e-04	1.208120177947650475e+01
5.066506650665066891e-01	1.205597807028539847e+01	6.398688287335152491e-02	2.563919027656288047e-05	2.414873845227333560e-01	4.896913857512827373e-03	7.076234728149495166e-04	1.205856716987634414e+01
5.076007600760076288e-01	1.203341245277624694e+01	6.434753191569959896e-02	2.588049262422951812e-05	2.419402329540333574e-01	4.906096779274842987e-03	7.116118484999919619e-04	1.203601742756559823e+01
5.085508550855085685e-01	1.201093115124205291e+01	6.470953356834920067e-02	2.612360836868129563e-05	2.423930813853333865e-01	4.915279701036858601e-03	7.156151825445597209e-04	1.201355207764451904e+01
5.095009500950095083e-01	1.198853369399663293e+01	6.507289036303076646e-02	2.636854771158167446e-05	2.428459298166334435e-01	4.924462622798874215e-03	7.196335029467643271e-04	1.199117064875990479e+01
5.104510451045104480e-01	1.196621961286556513e+01	6.543760483147474660e-02	2.661532089278374850e-05	2.432987782479335004e-01	4.933645544560889828e-03	7.236668377047179640e-04	1.196887267307209513e+01
5.114011401140113877e-01	1.194398844315358232e+01	6.580367950541154975e-02	2.686393819040145574e-05	2.437516266792335018e-01	4.942828466322905442e-03	7.277152148165312974e-04	1.194665768622236257e+01
5.123512351235123274e-01	1.192183972361230637e+01	6.617111691657162620e-02	2.711440992088111538e-05	2.442044751105335310e-01	4.952011388084921056e-03	7.317786622803162944e-04	1.192452522730068054e+01
5.133013301330132672e-01	1.189977299640834829e+01	6.653991959668542622e-02	2.736674643907264628e-05	2.446573235418335324e-01	4.961194309846936670e-03	7.358572080941845964e-04	1.190247483881380397e+01
5.142514251425142069e-01	1.187778780709176196e+01	6.691009007748345561e-02	2.762095813830096848e-05	2.451101719731335893e-01	4.970377231608953152e-03	7.399508802562484956e-04	1.188050606665375319e+01
5.152015201520152576e-01	1.185588370456485130e+01	6.728163089069609526e-02	2.787705545043728272e-05	2.455630204044336462e-01	4.979560153370968766e-03	7.440597067646188747e-04	1.185861846006663356e+01
5.161516151615161974e-01	1.183406024105131493e+01	6.765454456805373995e-02	2.813504884597045838e-05	2.460158688357336476e-01	4.988743075132984379e-03	7.481837156174069416e-04	1.183681157162177477e+01
5.171017101710171371e-01	1.181231697206572662e+01	6.802883364128689547e-02	2.839494883407844174e-05	2.464687172670337045e-01	4.997925996894999993e-03	7.523229348127248800e-04	1.181508495718123086e+01
5.180518051805180768e-01	1.179065345638336559e+01	6.840450064212603987e-02	2.865676596269955243e-05	2.469215656983337892e-01	5.007108918657016475e-03	7.564773923486846569e-04	1.179343817586962295e+01
5.190019001900190165e-01	1.176906925601037379e+01	6.878154810230154015e-02	2.892051081860373584e-05	2.473744141296337906e-01	5.016291840419032089e-03	7.606471162233971548e-04	1.177187079004429826e+01
5.199519951995199563e-01	1.174756393615422922e+01	6.915997855354387436e-02	2.918619402746410694e-05	2.478272625609337920e-01	5.025474762181046835e-03	7.648321344349741239e-04	1.175038236526582303e+01
5.209020902090208960e-01	1.172613706519455690e+01	6.953979452758346502e-02	2.945382625392812132e-05	2.482801109922337934e-01	5.034657683943062449e-03	7.690324749815273140e-04	1.172897247026879697e+01
5.218521852185219467e-01	1.170478821465424346e+01	6.992099855615081794e-02	2.972341820168907840e-05	2.487329594235338781e-01	5.043840605705078931e-03	7.732481658611689091e-04	1.170764067693298394e+01
5.228022802280227754e-01	1.168351695917089295e+01	7.030359317097630012e-02	2.999498061355724163e-05	2.491858078548338795e-01	5.053023527467094544e-03	7.774792350720095748e-04	1.168638656025476941e+01
5.237523752375237152e-01	1.166232287646855958e+01	7.068758090379037573e-02	3.026852427153144332e-05	2.496386562861338809e-01	5.062206449229110158e-03	7.817257106121612781e-04	1.166520969831891463e+01
5.247024702470246549e-01	1.164120554732981105e+01	7.107296428632350893e-02	3.054405999687028958e-05	2.500915047174339656e-01	5.071389370991124905e-03	7.859876204797355522e-04	1.164410967227062343e+01
5.256525652565258167e-01	1.162016455556808125e+01	7.145974585030621939e-02	3.082159865016357539e-05	2.505443531487340780e-01	5.080572292753142254e-03	7.902649926728454481e-04	1.162308606628790209e+01
